City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
91,Paita,PE,2022-07-08 02:22:32,-5.0892,-81.1144,clear sky,63.54,85,6,11.86
92,Itarema,BR,2022-07-08 02:22:32,-2.9248,-39.9167,overcast clouds,75.65,86,100,11.36
93,Prata,BR,2022-07-08 02:22:32,-19.3072,-48.9242,clear sky,64.85,51,0,4.81
94,Siverek,TR,2022-07-08 02:22:33,37.755,39.3167,clear sky,79.21,33,10,3.49
95,Parvatipuram,IN,2022-07-08 02:22:33,18.7833,83.4333,overcast clouds,82.78,78,100,3.18
96,Longyearbyen,SJ,2022-07-08 02:17:03,78.2186,15.6401,broken clouds,46.24,66,75,13.8
97,Manokwari,ID,2022-07-08 02:22:33,-0.8667,134.0833,overcast clouds,80.98,80,100,6.06
98,Hithadhoo,MV,2022-07-08 02:22:34,-0.6,73.0833,overcast clouds,81.64,76,100,4.43
99,Porto Santo,PT,2022-07-08 02:22:34,33.072,-16.3415,broken clouds,66.58,82,75,9.22
100,Keti Bandar,PK,2022-07-08 02:22:34,24.1447,67.4497,overcast clouds,83.41,80,100,4.29
101,Dossor,KZ,2022-07-08 02:22:35,47.5272,52.9811,clear sky,74.82,42,0,5.79
102,Daru,PG,2022-07-08 02:22:35,-9.0763,143.2092,overcast clouds,79.52,88,100,13.78
103,Kerema,PG,2022-07-08 02:22:35,-7.9631,145.7785,scattered clouds,84.0,72,40,8.5
104,Kihei,US,2022-07-08 02:22:35,20.785,-156.4656,scattered clouds,86.02,70,40,20.71
105,Siwan,IN,2022-07-08 02:22:36,26.2167,84.3667,scattered clouds,92.89,52,27,9.6
106,Noumea,NC,2022-07-08 02:19:38,-22.2763,166.4572,clear sky,87.78,99,5,6.46
107,Marawi,PH,2022-07-08 02:22:36,7.9986,124.2928,overcast clouds,78.91,70,90,4.92
108,Padang,ID,2022-07-08 02:22:37,-0.9492,100.3543,overcast clouds,80.65,72,99,0.96
109,Castro,BR,2022-07-08 02:17:09,-24.7911,-50.0119,overcast clouds,55.99,77,91,1.86
110,Nikolskoye,RU,2022-07-08 02:22:37,59.7035,30.7861,few clouds,58.91,92,23,4.65
111,Zholymbet,KZ,2022-07-08 02:22:38,51.7433,71.7122,light rain,64.18,69,86,12.19
112,North Platte,US,2022-07-08 02:17:52,41.1239,-100.7654,clear sky,78.69,75,0,8.01
113,Dunedin,NZ,2022-07-08 02:22:39,-45.8742,170.5036,moderate rain,46.8,92,100,21.99
114,Port Lincoln,AU,2022-07-08 02:22:39,-34.7333,135.8667,overcast clouds,56.95,61,92,14.52
115,Khatanga,RU,2022-07-08 02:22:39,71.9667,102.5,overcast clouds,52.27,36,100,10.69
116,Iwaki,JP,2022-07-08 02:22:40,37.05,140.8833,broken clouds,83.01,68,65,7.0
117,Coquimbo,CL,2022-07-08 02:22:40,-29.9533,-71.3436,broken clouds,55.13,82,75,6.91
118,Ribeira Grande,PT,2022-07-08 02:22:40,38.5167,-28.7,broken clouds,67.39,80,62,14.25
119,Vestmannaeyjar,IS,2022-07-08 02:22:41,63.4427,-20.2734,overcast clouds,50.02,87,100,23.33
120,Thompson,CA,2022-07-08 02:22:41,55.7435,-97.8558,scattered clouds,75.36,38,40,2.3
121,Tabuk,PH,2022-07-08 02:22:42,17.4189,121.4443,broken clouds,81.41,80,68,6.17
122,Upata,VE,2022-07-08 02:22:42,8.0086,-62.3989,scattered clouds,74.19,95,40,5.03
123,Goroka,PG,2022-07-08 02:22:43,-6.0834,145.3873,broken clouds,77.92,46,72,2.75
124,Kieta,PG,2022-07-08 02:22:43,-6.2167,155.6333,light rain,84.61,66,100,5.64
125,Hilo,US,2022-07-08 02:14:15,19.7297,-155.09,few clouds,90.28,74,20,9.22
126,Porto Seguro,BR,2022-07-08 02:22:43,-16.4497,-39.0647,broken clouds,70.32,94,75,5.75
127,Saldanha,ZA,2022-07-08 02:18:27,-33.0117,17.9442,overcast clouds,46.45,92,100,5.61
128,Lubango,AO,2022-07-08 02:22:44,-14.9172,13.4925,clear sky,55.51,47,1,3.56
129,Tuktoyaktuk,CA,2022-07-08 02:22:44,69.4541,-133.0374,broken clouds,75.2,60,75,12.66
130,Taltal,CL,2022-07-08 02:22:44,-25.4,-70.4833,broken clouds,62.06,62,67,2.77
131,Bengkulu,ID,2022-07-08 02:22:45,-3.8004,102.2655,broken clouds,80.4,79,59,1.68
132,Kahului,US,2022-07-08 02:17:30,20.8947,-156.47,scattered clouds,86.02,66,40,20.71
133,Inirida,CO,2022-07-08 02:23:45,3.8653,-67.9239,broken clouds,73.6,97,51,0.6
134,Slavgorod,RU,2022-07-08 02:23:45,52.9978,78.6449,overcast clouds,68.99,67,85,14.18
135,Upernavik,GL,2022-07-08 02:17:09,72.7868,-56.1549,few clouds,39.94,92,23,8.99
136,San Lawrenz,MT,2022-07-08 02:23:46,36.0553,14.204,scattered clouds,78.85,89,49,1.99
137,Tasiilaq,GL,2022-07-08 02:23:46,65.6145,-37.6368,overcast clouds,41.16,92,86,5.61
138,Bagdarin,RU,2022-07-08 02:23:46,54.4333,113.6,overcast clouds,66.96,44,99,5.93
139,Mount Gambier,AU,2022-07-08 02:23:46,-37.8333,140.7667,overcast clouds,51.78,85,96,11.77
140,Agirish,RU,2022-07-08 02:23:47,61.9247,63.0231,broken clouds,71.2,61,66,4.79
141,Aykhal,RU,2022-07-08 02:23:47,66.0,111.5,broken clouds,56.16,69,62,14.23
142,Bud,US,2022-07-08 02:23:47,39.447,-86.1758,scattered clouds,78.78,96,42,4.18
143,Ust-Maya,RU,2022-07-08 02:23:48,60.4167,134.5333,broken clouds,69.21,51,62,17.72
144,Sambava,MG,2022-07-08 02:23:48,-14.2667,50.1667,broken clouds,70.72,71,77,15.05
145,Muhororo,UG,2022-07-08 02:23:48,0.9381,30.7594,light rain,62.06,72,20,0.92
146,Simao,CN,2022-07-08 02:23:48,22.7886,100.9748,scattered clouds,77.18,65,42,1.54
147,Mahibadhoo,MV,2022-07-08 02:18:26,3.7833,72.9667,overcast clouds,82.8,77,100,11.65
148,Port Said,EG,2022-07-08 02:23:49,31.2565,32.2841,clear sky,77.04,73,0,9.13
149,Husavik,IS,2022-07-08 02:18:23,66.0449,-17.3389,overcast clouds,47.61,95,100,8.9
150,Kalianget,ID,2022-07-08 02:23:49,-7.05,113.9333,few clouds,80.01,68,23,10.27
151,Monrovia,LR,2022-07-08 02:23:49,6.3005,-10.7969,light rain,76.77,82,50,9.84
152,Syumsi,RU,2022-07-08 02:23:50,57.1111,51.6149,scattered clouds,64.72,93,49,3.49
153,Sal Rei,CV,2022-07-08 02:23:50,16.1833,-22.9167,broken clouds,73.74,84,65,14.9
154,Broome,US,2022-07-08 02:23:50,42.2506,-75.833,overcast clouds,73.78,78,100,1.99
155,Leningradskiy,RU,2022-07-08 02:23:51,69.3833,178.4167,overcast clouds,44.51,74,99,16.02
156,Buayan,PH,2022-07-08 02:23:52,6.1164,125.2347,broken clouds,84.06,78,75,8.05
157,Gornopravdinsk,RU,2022-07-08 02:22:09,60.05,69.9,clear sky,66.99,59,0,2.33
158,Saint Andrews,US,2022-07-08 02:23:52,34.0454,-81.1293,mist,77.32,80,75,8.05
159,Toamasina,MG,2022-07-08 02:23:52,-18.1667,49.3833,broken clouds,66.2,94,75,4.61
160,Port Shepstone,ZA,2022-07-08 02:18:16,-30.7414,30.455,clear sky,60.62,77,0,7.45
161,High Level,CA,2022-07-08 02:23:53,58.5169,-117.136,broken clouds,73.51,56,75,9.22
162,Antalaha,MG,2022-07-08 02:23:53,-14.9003,50.2788,broken clouds,68.18,76,74,9.35
163,Basco,PH,2022-07-08 02:23:53,20.4487,121.9702,overcast clouds,84.51,78,100,15.37
164,Altamont,US,2022-07-08 02:23:53,42.2068,-121.7372,scattered clouds,79.77,38,40,10.36
165,Batagay-Alyta,RU,2022-07-08 02:23:54,67.8006,130.4114,light rain,42.31,87,100,13.62
166,Tiarei,PF,2022-07-08 02:23:54,-17.5333,-149.3333,light rain,82.42,72,4,4.56
167,Salmon Creek,US,2022-07-08 02:20:07,45.7107,-122.649,clear sky,78.31,63,0,9.22
168,Fuyu,CN,2022-07-08 02:23:54,45.1833,124.8167,scattered clouds,84.76,54,41,9.35
169,Ust-Tsilma,RU,2022-07-08 02:19:16,65.441,52.1498,overcast clouds,71.37,57,100,9.33
170,Riyadh,SA,2022-07-08 02:22:58,24.6877,46.7219,overcast clouds,91.54,11,100,10.49
171,Vao,NC,2022-07-08 02:18:18,-22.6667,167.4833,clear sky,74.64,89,0,11.34
172,Bubaque,GW,2022-07-08 02:23:55,11.2833,-15.8333,light rain,80.11,83,82,12.1
173,Canto Do Buriti,BR,2022-07-08 02:23:55,-8.11,-42.9444,scattered clouds,71.89,67,45,4.43
174,Vostok,RU,2022-07-08 02:18:19,46.4856,135.8833,overcast clouds,81.91,47,100,6.38
175,Semporna,MY,2022-07-08 02:23:56,4.4818,118.6112,moderate rain,82.42,77,100,8.7
176,Luderitz,NA,2022-07-08 02:23:56,-26.6481,15.1594,clear sky,59.45,47,0,6.58
177,Aguimes,ES,2022-07-08 02:23:56,27.9054,-15.4461,few clouds,66.83,78,20,31.07
178,Majene,ID,2022-07-08 02:23:56,-3.5403,118.9707,scattered clouds,81.88,76,49,7.23
179,Lebu,CL,2022-07-08 02:14:16,-37.6167,-73.65,few clouds,45.66,83,16,4.54
180,Awjilah,LY,2022-07-08 02:23:57,29.1081,21.2869,clear sky,81.61,37,0,9.13
181,Svetlaya,RU,2022-07-08 02:24:57,46.5389,138.3297,overcast clouds,69.46,81,100,14.38
182,Mar Del Plata,AR,2022-07-08 02:24:12,-38.0023,-57.5575,clear sky,42.87,52,0,10.36
183,Krasnyy Profintern,RU,2022-07-08 02:24:57,57.7446,40.435,overcast clouds,62.62,96,96,7.34
184,Airai,TL,2022-07-08 02:24:58,-8.9266,125.4092,broken clouds,64.06,78,78,3.15
185,Ngerengere,TZ,2022-07-08 02:24:58,-6.75,38.1167,light rain,64.36,96,34,3.76
186,Erzin,TR,2022-07-08 02:24:59,36.9559,36.2,scattered clouds,73.27,88,44,0.67
187,Tura,IN,2022-07-08 02:24:59,25.5198,90.2201,light rain,79.47,90,99,6.4
188,Lata,PT,2022-07-08 02:25:00,40.1629,-8.3327,clear sky,65.07,31,0,4.5
189,Tilichiki,RU,2022-07-08 02:25:00,60.4667,166.1,overcast clouds,56.08,90,100,3.33
190,Homer,US,2022-07-08 02:25:00,59.6425,-151.5483,scattered clouds,60.69,65,40,4.61
191,Northam,GB,2022-07-08 02:25:00,51.0333,-4.2167,clear sky,59.4,93,3,1.01
192,Zhezkazgan,KZ,2022-07-08 02:25:01,47.8043,67.7144,scattered clouds,64.38,68,40,8.95
193,Cherskiy,RU,2022-07-08 02:25:01,68.75,161.3,overcast clouds,62.37,58,100,6.6
194,Lasa,IT,2022-07-08 02:25:01,46.6166,10.7002,scattered clouds,55.36,94,34,7.72
195,Kulhudhuffushi,MV,2022-07-08 02:17:09,6.6221,73.07,broken clouds,81.88,82,72,18.77
196,Henties Bay,NA,2022-07-08 02:25:02,-22.116,14.2845,clear sky,57.6,78,0,0.58
197,Khanu Woralaksaburi,TH,2022-07-08 02:25:02,16.0617,99.8606,overcast clouds,84.15,73,92,4.47
198,Yulara,AU,2022-07-08 02:25:02,-25.2406,130.9889,clear sky,54.52,52,0,13.62
199,Alofi,NU,2022-07-08 02:25:03,-19.0595,-169.9187,broken clouds,78.69,69,75,17.27
200,Khed,IN,2022-07-08 02:25:03,17.7167,73.3833,moderate rain,77.47,92,100,8.63
201,Salalah,OM,2022-07-08 02:17:07,17.0151,54.0924,light intensity drizzle,77.09,100,100,9.22
202,San Patricio,US,2022-07-08 02:25:03,28.017,-97.5169,clear sky,86.09,74,2,14.54
203,Port Hardy,CA,2022-07-08 02:15:52,50.6996,-127.4199,light intensity shower rain,57.38,94,100,6.91
204,Kitimat,CA,2022-07-08 02:25:04,54.0524,-128.6534,overcast clouds,63.91,56,93,4.52
205,Pokosnoye,RU,2022-07-08 02:25:05,55.5258,101.0536,overcast clouds,60.85,83,100,9.28
206,Berdigestyakh,RU,2022-07-08 02:25:05,62.0989,126.6992,light rain,55.29,90,99,18.14
207,Kimbe,PG,2022-07-08 02:25:06,-5.5502,150.1429,overcast clouds,91.31,50,91,4.09
208,Bollnas,SE,2022-07-08 02:25:06,61.3482,16.3946,scattered clouds,46.96,85,50,4.27
209,Adolfo Lopez Mateos,MX,2022-07-08 02:25:06,28.4667,-107.3,broken clouds,64.92,66,60,10.42
210,The Valley,AI,2022-07-08 02:25:07,18.217,-63.0578,clear sky,82.09,77,1,22.46
211,Sao Francisco,BR,2022-07-08 02:25:07,-15.9486,-44.8644,clear sky,66.9,47,0,2.53
212,Pirapozinho,BR,2022-07-08 02:25:07,-22.2753,-51.5,clear sky,71.08,43,0,6.91
213,Liwale,TZ,2022-07-08 02:25:08,-9.7667,37.9333,clear sky,57.87,93,3,4.47
214,Saint-Philippe,RE,2022-07-08 02:18:16,-21.3585,55.7679,light rain,65.79,79,48,17.83
215,Brookhaven,US,2022-07-08 02:25:09,31.5791,-90.4407,scattered clouds,82.06,78,39,3.44
216,Katsuura,JP,2022-07-08 02:17:04,35.1333,140.3,overcast clouds,80.62,66,100,18.07
217,Kant,IN,2022-07-08 02:25:09,27.8,79.8,scattered clouds,94.05,45,27,9.44
218,Oktyabrskoye,RU,2022-07-08 02:25:09,43.0645,44.7417,clear sky,55.54,94,0,2.24
219,Visby,SE,2022-07-08 02:25:10,57.6409,18.296,overcast clouds,61.02,82,100,16.11
220,Hambantota,LK,2022-07-08 02:25:10,6.1241,81.1185,few clouds,80.94,83,20,2.3
221,Cabedelo,BR,2022-07-08 02:25:10,-6.9811,-34.8339,moderate rain,74.07,89,24,11.41
222,Klaksvik,FO,2022-07-08 02:24:27,62.2266,-6.589,overcast clouds,50.92,84,100,30.71
223,Nara,JP,2022-07-08 02:25:11,34.6851,135.8049,overcast clouds,85.5,49,100,4.16
224,Bad Segeberg,DE,2022-07-08 02:25:11,53.9333,10.3167,clear sky,56.86,92,0,9.13
225,Souillac,MU,2022-07-08 02:26:11,-20.5167,57.5167,broken clouds,70.18,73,75,16.11
226,Porto Novo,BJ,2022-07-08 02:26:12,6.4965,2.6036,light rain,78.62,89,100,7.83
227,Minggang,CN,2022-07-08 02:26:12,32.4586,114.0486,clear sky,87.1,70,3,11.92
228,Katobu,ID,2022-07-08 02:26:12,-4.9408,122.5276,few clouds,80.1,83,20,2.44
229,Tuatapere,NZ,2022-07-08 02:16:54,-46.1333,167.6833,overcast clouds,45.03,90,100,5.73
230,Barrow,US,2022-07-08 02:17:08,71.2906,-156.7887,overcast clouds,44.62,81,100,5.75
231,Nuevo Progreso,MX,2022-07-08 02:26:13,23.1667,-97.95,overcast clouds,83.53,63,89,1.99
232,Mayumba,GA,2022-07-08 02:26:13,-3.432,10.6554,broken clouds,69.62,94,70,3.02
233,Laguna,US,2022-07-08 02:25:39,38.421,-121.4238,clear sky,90.75,38,0,11.5
234,Tibanban,PH,2022-07-08 02:26:13,6.6295,126.0789,light rain,80.65,80,100,3.22
235,Mandiana,GN,2022-07-08 02:26:14,10.6333,-8.6833,few clouds,74.05,87,24,5.01
236,Walvis Bay,NA,2022-07-08 02:26:14,-22.9575,14.5053,clear sky,56.35,54,0,2.3
237,Jhalida,IN,2022-07-08 02:26:14,23.3667,85.9667,overcast clouds,83.44,73,96,7.54
238,Margate,GB,2022-07-08 02:26:15,51.3813,1.3862,clear sky,55.31,88,8,6.22
239,Kokopo,PG,2022-07-08 02:26:15,-4.352,152.2633,scattered clouds,85.71,61,45,10.87
240,Hastings,GB,2022-07-08 02:26:15,50.8552,0.5729,clear sky,57.78,95,1,1.99
241,Bathsheba,BB,2022-07-08 02:26:15,13.2167,-59.5167,scattered clouds,83.01,85,40,25.32
242,Poronaysk,RU,2022-07-08 02:26:16,49.2167,143.1167,overcast clouds,73.18,71,100,9.53
243,Hami,CN,2022-07-08 02:26:16,42.8,93.45,overcast clouds,85.77,14,91,0.92
244,Vannes,FR,2022-07-08 02:26:16,47.8333,-2.5,clear sky,57.81,95,9,8.79
245,Provideniya,RU,2022-07-08 02:18:29,64.3833,-173.3,overcast clouds,51.91,87,100,8.99
246,Tezu,IN,2022-07-08 02:26:17,27.9167,96.1667,broken clouds,82.36,85,67,1.19
247,Faanui,PF,2022-07-08 02:18:17,-16.4833,-151.75,clear sky,78.64,68,3,4.12
248,Abu Samrah,SY,2022-07-08 02:26:17,35.3029,37.1841,clear sky,71.49,59,0,7.87
249,Freeport,US,2022-07-08 02:25:16,40.6576,-73.5832,clear sky,72.99,75,0,5.75
250,Boyle,US,2022-07-08 02:26:18,37.6334,-84.8666,clear sky,75.22,100,0,3.44
251,Port-Gentil,GA,2022-07-08 02:26:18,-0.7193,8.7815,overcast clouds,72.9,85,85,12.82
252,Port Augusta,AU,2022-07-08 02:18:20,-32.5,137.7667,overcast clouds,57.9,49,100,14.2
253,Portage,US,2022-07-08 02:26:18,41.1667,-81.1998,clear sky,70.11,82,0,0.0
254,Ust-Kuyga,RU,2022-07-08 02:26:19,70.0167,135.6,light rain,47.28,78,100,20.89
255,Norman Wells,CA,2022-07-08 02:26:19,65.282,-126.8329,smoke,87.84,29,40,11.5
256,Eureka,US,2022-07-08 02:23:53,40.8021,-124.1637,few clouds,67.19,77,23,4.0
257,Pirovskoye,RU,2022-07-08 02:26:20,57.6267,92.2658,broken clouds,65.8,65,52,4.18
258,Orocue,CO,2022-07-08 02:26:21,4.7912,-71.3354,broken clouds,74.84,91,71,3.74
259,Constitucion,CL,2022-07-08 02:26:21,-35.3333,-72.4167,clear sky,47.12,82,0,5.46
260,Ahuimanu,US,2022-07-08 02:26:21,21.4447,-157.8378,shower rain,83.91,75,75,16.11
261,Avera,US,2022-07-08 02:26:21,33.194,-82.5271,overcast clouds,78.85,87,100,6.51
262,Savannah Bight,HN,2022-07-08 02:26:22,16.45,-85.85,clear sky,82.13,78,3,14.83
